,idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn
89,922624,5,8,Fair,,Every day,163.0,54.0,Female,1954
90,922640,8,9,Very good,,Once a week,172.0,68.0,Female,1946
91,922658,5,Extremely happy,Good,,2-3 times a month,183.0,91.0,Male,1985
92,922690,4,9,Good,5.0,Less than once a month,170.0,47.0,Female,1993
93,922713,7,8,Good,,Several times a week,166.0,68.0,Female,1947
94,922721,7,9,Good,,2-3 times a month,182.0,87.0,Male,1965
95,922739,8,9,Very good,15.0,Several times a week,192.0,88.0,Male,1968
96,922763,5,7,Good,,Once a week,187.0,110.0,Male,1967
97,922771,8,8,Good,,Never,165.0,63.0,Female,1990
98,922789,7,8,Very good,,Once a month,178.0,102.0,Male,1949
99,922802,9,9,Good,,Less than once a month,164.0,64.0,Female,1990
100,922852,2,8,Fair,,2-3 times a month,188.0,92.0,Male,1986
101,922860,8,8,Very good,,2-3 times a month,159.0,64.0,Female,1993
102,922886,6,5,Very good,,Never,160.0,74.0,Female,1932
103,922894,8,Extremely happy,Very good,,Several times a week,168.0,60.0,Female,1964
104,922925,9,8,Very good,15.0,Once a week,186.0,66.0,Male,1986
105,922933,9,9,Fair,,Less than once a month,160.0,98.0,Female,1965
106,922941,7,2,Bad,,Less than once a month,185.0,99.0,Male,1991
107,922959,8,9,Good,1.0,Once a month,185.0,84.0,Male,1998
108,922967,8,7,Fair,,Once a week,185.0,125.0,Male,1977
109,922975,8,8,Very good,,Every day,178.0,63.0,Male,1967
110,922983,6,7,Good,15.0,Once a week,160.0,54.0,Female,1947
111,922991,8,9,Good,,2-3 times a month,166.0,60.0,Female,1934
112,923052,8,Extremely happy,Good,,2-3 times a month,157.0,62.0,Female,1931
113,923060,8,9,Good,,Several times a week,174.0,76.0,Male,1940
114,923094,5,8,Fair,,2-3 times a month,165.0,58.0,Female,1986
115,923109,8,9,Good,,Less than once a month,158.0,101.0,Female,1946
116,923125,5,8,Very good,0.0,2-3 times a month,178.0,91.0,Male,1987
117,923133,9,8,Fair,3.0,Once a week,172.0,65.0,Female,1958
118,923141,7,9,Very good,,Several times a week,186.0,75.0,Female,1970
119,923159,8,2,Fair,15.0,Several times a week,164.0,51.4,Female,1946
120,923167,3,5,Fair,20.0,Less than once a month,184.0,120.0,Male,1971
121,923183,5,9,Very good,10.0,Once a month,170.0,58.0,Female,1966
122,923191,8,Extremely happy,Very good,,2-3 times a month,170.0,60.0,Female,1953
123,923214,9,9,Very good,,Once a month,180.0,63.0,Male,1998
124,923256,7,9,Fair,,2-3 times a month,176.0,80.0,Female,1958
125,923264,6,Extremely happy,Good,,Several times a week,173.0,89.0,Male,1943
126,923272,8,8,Very good,20.0,Once a week,190.0,81.0,Male,1992
127,923280,9,9,Good,20.0,Once a week,182.0,105.0,Male,1983
128,923329,8,8,Fair,,Less than once a month,162.0,74.0,Female,1969
129,923353,7,Extremely happy,Very good,,Several times a week,178.0,100.9,Male,1963
130,923361,7,9,Good,,Never,176.0,95.0,Male,1984
131,923379,8,8,Good,,2-3 times a month,166.0,60.0,Female,1967
132,923395,8,8,Very good,,Several times a week,176.0,70.0,Female,1979
133,923400,8,Extremely happy,Very good,,Several times a week,180.0,70.0,Male,1946
134,923418,7,7,Good,,Less than once a month,168.0,52.0,Female,1963
135,923426,8,8,Good,20.0,Once a week,184.0,84.0,Male,1991
136,923434,5,9,Good,11.0,Less than once a month,164.0,60.0,Female,1968
137,923476,7,Extremely happy,Very good,,Once a month,168.0,58.0,Female,1995
138,923492,5,9,Good,,Once a week,166.0,60.0,Female,1953
139,923523,5,9,Good,,Every day,172.0,59.0,Female,1945
140,923531,9,Extremely happy,Very good,,Several times a week,167.0,67.0,Female,1956
141,923557,9,9,Very good,,Once a week,182.0,76.0,Male,1984
142,923573,7,9,Very good,,2-3 times a month,155.0,61.0,Female,1987
143,923604,5,8,Good,5.0,Less than once a month,189.0,78.0,Male,1989
144,923612,9,7,Very good,2.0,Once a month,170.0,62.0,Male,1981
145,923620,8,Extremely happy,Good,,Several times a week,180.0,93.0,Male,1984
146,923646,You can't be too careful,Extremely happy,Very good,8.0,Less than once a month,,,Female,1948
147,923662,6,8,Very good,,2-3 times a month,163.0,62.0,Female,1976
148,923670,6,9,Good,,Once a month,176.0,72.0,Male,1979
149,923688,5,7,Fair,10.0,2-3 times a month,164.0,63.0,Female,1990
150,923701,5,9,Bad,,Once a week,173.0,59.0,Female,1980
151,923719,7,9,Good,,Once a week,178.0,85.0,Male,1975
152,923727,7,9,Good,3.0,2-3 times a month,160.0,54.0,Female,1940
153,923743,9,8,Very good,2.0,Once a week,183.0,80.0,Male,1988
154,923769,5,8,Good,,Several times a week,170.0,66.0,Male,1951
155,923777,6,9,Very good,,2-3 times a month,160.0,55.0,Female,1975
156,923785,9,8,Very good,,2-3 times a month,155.0,60.0,Female,1960
157,923793,8,Extremely happy,Very good,,Once a week,179.0,80.0,Male,1950
158,923808,9,5,Very good,20.0,Every day,172.0,76.0,Male,1955
159,923816,7,9,Good,,2-3 times a month,165.0,70.0,Female,1999
160,923824,9,8,Very good,,Once a week,170.0,65.0,Female,1964
161,923832,8,8,Very good,10.0,Several times a week,173.0,60.0,Male,1994
162,923858,9,9,Good,,2-3 times a month,180.0,70.0,Male,1977
163,923866,7,9,Good,,Once a week,192.0,93.0,Male,1992
164,923882,8,9,Very good,4.0,Every day,179.0,87.0,Male,1935
165,923890,9,Extremely happy,Very good,,Once a week,173.0,60.0,Female,1996
166,923905,6,8,Good,12.0,Once a week,196.0,135.0,Male,1995
167,923913,7,9,Very good,,Every day,170.0,70.0,Male,1943
168,923939,9,Extremely happy,Good,,Several times a week,177.0,107.0,Male,1951
169,923971,9,7,Fair,,Never,166.0,82.0,Female,1929
170,923989,9,7,Good,,2-3 times a month,180.0,70.0,Female,1959
171,923997,8,8,Very good,,Several times a week,190.0,110.0,Male,1954
172,924024,7,8,Good,,Less than once a month,169.0,66.0,Female,1986
173,924032,7,Extremely happy,Fair,,Every day,174.0,72.0,Male,1926
174,924040,8,9,Fair,,Every day,172.0,92.0,Male,1942
175,924058,9,,Good,10.0,Once a month,164.0,68.0,Female,1949
176,924066,5,6,Fair,,Every day,175.0,68.0,Male,1927
177,924074,8,9,Very good,,Several times a week,189.0,66.0,Male,1970
178,924090,9,5,Bad,,Every day,178.0,66.0,Male,1957
179,924105,8,8,Good,15.0,Less than once a month,160.0,63.0,Female,1962
180,924113,8,8,Very good,,Several times a week,197.0,82.0,Male,1997
181,924121,5,7,Very good,10.0,Never,188.0,85.0,Male,1990
182,924139,8,8,Good,,Once a month,174.0,79.0,Male,1951
183,924155,5,8,Good,,Every day,180.0,70.0,Male,1935
